city,state_id,population
Ahtanum,WA,3356
Aguas Buenas,PR,3446
Agua Dulce,CA,3742
Akron,PA,4015
Aguilita,PR,4069
Adjuntas,PR,4258
Adamsville,AL,4281
Ahoskie,NC,4763
Adairsville,GA,4963
Adel,IA,5455
Ada,OH,5544
Addis,LA,6221
Air Force Academy,CO,6512
Adel,GA,6989
Aibonito,PR,7820
Ahuimanu,HI,8023
Airmont,NY,8786
Airway Heights,WA,9485
Aiea,HI,9638
Aguadilla,PR,10739
Addison,TX,16263
Adelphi,MD,16377
Affton,MO,20148
Agoura Hills,CA,20222
Agawam,MA,28613
Aiken,SC,30869
Adelanto,CA,34049
Addison,IL,36482
Adrian,MI,43689
Akron,OH,565208
