city,state_id,population
Adamsville,OH,124
Ada,KS,160
Adamsburg,PA,162
Abanda,AL,176
Adair,IL,205
Addieville,IL,238
Abeytas,NM,293
Accident,MD,312
Aberdeen Gardens,WA,337
Adamsville,AL,4281
Adel,GA,6989
Aberdeen,NC,7988
Accokeek,MD,11647
Aberdeen,MD,16019
Addison,IL,36482
Adams Center,NY,1385
Adamstown,PA,1880
Aceitunas,PR,1890
Aberdeen,ID,1977
Abita Springs,LA,2614
Abbeville,MS,423
Abrams,WI,461
Adell,WI,512
Accord,NY,560
Acomita Lake,NM,574
Ackermanville,PA,632
Adams,TN,671
Adair Village,OR,874
Addyston,OH,936
Accoville,WV,980
