city,state_id,population
Abbottstown,PA,1026
Absarokee,MT,1061
Acalanes Ridge,CA,1134
Adams Center,NY,1385
Ackerman,MS,1448
Ackley,IA,1498
Ada,MN,1563
Aberdeen,IN,1591
Aberdeen,OH,1604
Adamstown,PA,1880
Aceitunas,PR,1890
Adams,WI,1893
Aberdeen,ID,1977
Adamsville,TN,2164
Abram,TX,2328
Adamstown,MD,2512
Abbeville,AL,2560
Abita Springs,LA,2614
Abbeville,GA,2684
Abernathy,TX,2706
Aberdeen Proving Ground,MD,2872
Acres Green,CO,3100
Abingdon,IL,3115
Acushnet Center,MA,3177
Abbotsford,WI,3833
Afton,OK,1020
Akutan,AK,1041
Akron,IN,1105
Advance,NC,1158
Adrian,MN,1218
Ak-Chin Village,AZ,1228
Advance,MO,1336
Adams Center,NY,1385
Aetna Estates,CO,1398
Akron,IA,1463
Airport,CA,1479
Adwolf,VA,1573
Adrian,MO,1597
Ainsworth,NE,1620
Akron,CO,1723
Adamstown,PA,1880
Adams,WI,1893
Aitkin,MN,1985
Afton,WY,2041
Adamsville,TN,2164
Aguas Claras,PR,2266
Adamstown,MD,2512
Ahwahnee,CA,2513
Agua Fria,NM,2734
Aguada,PR,2812
Ajo,AZ,2841
Akron,NY,2969
Afton,MN,3028
Agua Dulce,TX,3268
Ainaloa,HI,3279
